objective,metric,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,n_estimators,auc_train,f1_train,auc_test,f1_test
binary,auc,0.0,0.0,0.5,20,10,100,0.8635959892280499,0.7195148227926191,0.6269121767323201,0.561641721941904
binary,auc,0.0,0.0,0.5,20,20,10,0.7391165091463039,0.6331279329254319,0.658907030206951,0.5861416187207384
binary,auc,0.0,0.0,0.5,20,20,20,0.772050984877055,0.6522475255760575,0.651923401565158,0.5791593512114868
binary,auc,0.0,0.0,0.5,20,20,50,0.8194625393751097,0.6835835108312752,0.6381339051035025,0.570414584562227
binary,auc,0.0,0.0,0.5,20,20,100,0.8545393556869811,0.7108583097139155,0.6304199689978928,0.5592728391758564
binary,auc,0.0,0.0,0.5,20,50,10,0.7349706962162683,0.6316051278003877,0.6606484525204296,0.5914069359138678
binary,auc,0.0,0.0,0.5,20,50,20,0.7648058958776485,0.647654260936911,0.653887573705623,0.585044513847679
binary,auc,0.0,0.0,0.5,20,50,50,0.8086508393779784,0.6765960750736607,0.6413360582658391,0.5749400285979022
binary,auc,0.0,0.0,0.5,20,50,100,0.8413525664721068,0.6996444913861993,0.6316941342824197,0.5653552518824475
binary,auc,0.0,0.0,0.5,20,100,10,0.7299576533786981,0.6284572722182408,0.6666590655497336,0.5938675705663153
binary,auc,0.0,0.0,0.5,20,100,20,0.7569496316059833,0.6440954546246134,0.6605223848015741,0.587823905310955
binary,auc,0.0,0.0,0.5,20,100,50,0.7986766510976736,0.6701790740300605,0.6469329906423765,0.5755282087135195
binary,auc,0.0,0.0,0.5,20,100,100,0.8303615218463837,0.6930697715673344,0.6386695268331918,0.5715195996143193
binary,auc,0.0,0.0,0.5,50,10,10,0.7425948147489594,0.6331152504583754,0.6618000835892416,0.5928599648895316
binary,auc,0.0,0.0,0.5,50,10,20,0.7744680895143198,0.6529648938056668,0.6516854169877987,0.5842318513845242
binary,auc,0.0,0.0,0.5,50,10,50,0.8271348655670875,0.68723594610364,0.6384525196432479,0.5697588095404648
